"id","timestamp","cpu_usage_percent"
70,"2025-09-15 12:10:13.531039+00","0.00"
72,"2025-09-15 12:10:14.598039+00","33.91"
74,"2025-09-15 12:10:15.663197+00","52.47"
76,"2025-09-15 12:10:16.656375+00","52.74"
78,"2025-09-15 12:10:17.671447+00","50.89"
80,"2025-09-15 12:10:18.658216+00","52.44"
82,"2025-09-15 12:10:19.674849+00","52.57"
84,"2025-09-15 12:10:20.665461+00","51.71"
86,"2025-09-15 12:10:21.666517+00","51.50"
88,"2025-09-15 12:10:22.672605+00","51.06"
90,"2025-09-15 12:10:23.673365+00","51.92"
92,"2025-09-15 12:10:25.533967+00","33.99"
94,"2025-09-15 12:10:26.225277+00","45.70"
96,"2025-09-15 12:10:26.765953+00","46.51"
98,"2025-09-15 12:10:27.530749+00","32.87"
100,"2025-09-15 12:10:28.523136+00","27.20"
102,"2025-09-15 12:10:29.514866+00","20.79"
104,"2025-09-15 12:10:30.681303+00","39.65"
106,"2025-09-15 12:10:35.188631+00","33.86"
108,"2025-09-15 12:10:46.402342+00","23.13"
110,"2025-09-15 12:10:49.144919+00","36.48"
112,"2025-09-15 12:10:53.935291+00","32.20"
114,"2025-09-15 12:11:00.298648+00","27.97"
116,"2025-09-15 12:11:01.370224+00","52.24"
118,"2025-09-15 12:11:05.10745+00","32.97"
120,"2025-09-15 12:11:17.609886+00","24.62"
122,"2025-09-15 12:11:22.259967+00","26.42"
124,"2025-09-15 12:11:27.190378+00","32.27"
126,"2025-09-15 12:11:34.422248+00","17.99"
128,"2025-09-15 12:11:38.139705+00","19.19"
130,"2025-09-15 12:11:39.399595+00","17.46"
132,"2025-09-15 12:11:39.457994+00","13.55"
134,"2025-09-15 12:11:39.467059+00","13.55"
136,"2025-09-15 12:11:39.474213+00","13.55"
138,"2025-09-15 12:11:39.481095+00","13.55"
140,"2025-09-15 12:11:39.486324+00","13.55"
142,"2025-09-15 12:11:39.491485+00","13.55"
144,"2025-09-15 12:11:39.496716+00","13.55"
146,"2025-09-15 12:11:39.501921+00","13.55"
148,"2025-09-15 12:11:39.508022+00","13.55"
150,"2025-09-15 12:11:39.513141+00","13.55"
152,"2025-09-15 12:11:39.518236+00","13.55"
154,"2025-09-15 12:11:39.523207+00","13.55"
156,"2025-09-15 12:11:39.527995+00","13.55"
158,"2025-09-15 12:11:39.533445+00","13.55"
160,"2025-09-15 12:11:39.538266+00","13.55"
