"id","timestamp","cpu_usage_percent"
1201,"2025-09-09 13:44:05.050261+00","0.12"
1202,"2025-09-09 13:44:06.047985+00","0.06"
1203,"2025-09-09 13:44:07.047608+00","0.06"
1204,"2025-09-09 13:44:08.047695+00","0.06"
1205,"2025-09-09 13:44:09.052674+00","0.31"
1206,"2025-09-09 13:44:10.048418+00","0.19"
1207,"2025-09-09 13:44:11.049259+00","0.25"
1208,"2025-09-09 13:44:12.048006+00","0.00"
1209,"2025-09-09 13:44:13.048477+00","0.37"
1210,"2025-09-09 13:44:14.047623+00","0.37"
1211,"2025-09-09 13:44:15.04762+00","0.06"
1212,"2025-09-09 13:44:16.048164+00","0.00"
1213,"2025-09-09 13:44:17.047515+00","0.13"
1214,"2025-09-09 13:44:18.047454+00","0.00"
1215,"2025-09-09 13:44:19.047206+00","0.31"
1216,"2025-09-09 13:44:20.047977+00","0.00"
1217,"2025-09-09 13:44:21.047674+00","0.06"
1218,"2025-09-09 13:44:22.048241+00","0.31"
1219,"2025-09-09 13:44:23.975959+00","0.12"
1220,"2025-09-09 13:44:24.974436+00","0.37"
1221,"2025-09-09 13:44:25.975106+00","0.00"
1222,"2025-09-09 13:44:26.974225+00","0.00"
1223,"2025-09-09 13:44:28.046641+00","37.81"
1224,"2025-09-09 13:44:29.091614+00","54.28"
1225,"2025-09-09 13:44:30.138821+00","53.21"
1226,"2025-09-09 13:44:31.122164+00","51.58"
1227,"2025-09-09 13:44:32.108804+00","52.53"
1228,"2025-09-09 13:44:33.095019+00","51.17"
1229,"2025-09-09 13:44:34.109636+00","51.93"
1230,"2025-09-09 13:44:35.141651+00","52.19"
1231,"2025-09-09 13:44:36.792951+00","35.92"
1232,"2025-09-09 13:44:37.37546+00","31.66"
1233,"2025-09-09 13:44:38.63235+00","47.02"
1234,"2025-09-09 13:44:39.651881+00","45.52"
1235,"2025-09-09 13:44:40.661857+00","48.37"
1236,"2025-09-09 13:44:44.329716+00","23.25"
1237,"2025-09-09 13:44:46.230523+00","20.81"
1238,"2025-09-09 13:44:48.486364+00","29.71"
1239,"2025-09-09 13:44:50.587557+00","29.09"
1240,"2025-09-09 13:44:52.542865+00","27.58"
1241,"2025-09-09 13:44:57.001115+00","19.95"
1242,"2025-09-09 13:44:59.457855+00","27.13"
1243,"2025-09-09 13:45:01.359334+00","27.84"
1244,"2025-09-09 13:45:04.249424+00","31.91"
1245,"2025-09-09 13:45:06.61789+00","25.42"
1246,"2025-09-09 13:45:09.329932+00","32.29"
1247,"2025-09-09 13:45:13.946907+00","21.33"
1248,"2025-09-09 13:45:16.436452+00","21.55"
1249,"2025-09-09 13:45:20.066109+00","24.13"
1250,"2025-09-09 13:45:22.268194+00","15.43"
1251,"2025-09-09 13:45:23.112446+00","23.84"
1252,"2025-09-09 13:45:26.109844+00","16.40"
1253,"2025-09-09 13:45:26.298513+00","11.31"
1254,"2025-09-09 13:45:26.316563+00","11.31"
1255,"2025-09-09 13:45:26.320776+00","11.31"
1256,"2025-09-09 13:45:26.324858+00","11.31"
1257,"2025-09-09 13:45:26.329+00","11.31"
1258,"2025-09-09 13:45:26.333409+00","11.31"
