"id","timestamp","memory_usage_percent"
71,"2025-09-15 12:10:13.558507+00","13.36"
73,"2025-09-15 12:10:14.763844+00","19.38"
75,"2025-09-15 12:10:15.960047+00","23.58"
77,"2025-09-15 12:10:16.962561+00","26.50"
79,"2025-09-15 12:10:18.008416+00","26.60"
81,"2025-09-15 12:10:18.97032+00","26.72"
83,"2025-09-15 12:10:19.998284+00","26.69"
85,"2025-09-15 12:10:20.976489+00","26.74"
87,"2025-09-15 12:10:21.985045+00","26.91"
89,"2025-09-15 12:10:22.997725+00","27.08"
91,"2025-09-15 12:10:24.904738+00","27.28"
93,"2025-09-15 12:10:25.899729+00","36.61"
95,"2025-09-15 12:10:26.57789+00","39.78"
97,"2025-09-15 12:10:26.863954+00","42.04"
99,"2025-09-15 12:10:27.543235+00","44.14"
101,"2025-09-15 12:10:28.525341+00","48.62"
103,"2025-09-15 12:10:29.516968+00","56.35"
105,"2025-09-15 12:10:31.633895+00","61.52"
107,"2025-09-15 12:10:42.71724+00","65.13"
109,"2025-09-15 12:10:47.890664+00","77.59"
111,"2025-09-15 12:10:50.479451+00","73.22"
113,"2025-09-15 12:10:58.727229+00","73.53"
115,"2025-09-15 12:11:00.921424+00","79.07"
117,"2025-09-15 12:11:01.898871+00","79.30"
119,"2025-09-15 12:11:11.200788+00","70.69"
121,"2025-09-15 12:11:19.391232+00","79.30"
123,"2025-09-15 12:11:24.522689+00","77.58"
125,"2025-09-15 12:11:31.465411+00","78.44"
127,"2025-09-15 12:11:36.812839+00","72.55"
129,"2025-09-15 12:11:39.133982+00","52.11"
131,"2025-09-15 12:11:39.429351+00","33.64"
133,"2025-09-15 12:11:39.461834+00","29.42"
135,"2025-09-15 12:11:39.469767+00","29.41"
137,"2025-09-15 12:11:39.476392+00","29.40"
139,"2025-09-15 12:11:39.482178+00","29.40"
141,"2025-09-15 12:11:39.487433+00","29.40"
143,"2025-09-15 12:11:39.492602+00","29.40"
145,"2025-09-15 12:11:39.497713+00","29.39"
147,"2025-09-15 12:11:39.503158+00","29.39"
149,"2025-09-15 12:11:39.509111+00","29.39"
151,"2025-09-15 12:11:39.514164+00","29.36"
