"id","timestamp","memory_usage_percent"
79,"2025-09-15 09:52:13.528952+00","13.35"
81,"2025-09-15 09:52:14.548989+00","13.35"
83,"2025-09-15 09:52:15.540351+00","13.35"
85,"2025-09-15 09:52:16.526574+00","13.35"
87,"2025-09-15 09:52:17.527981+00","13.38"
89,"2025-09-15 09:52:18.536267+00","13.38"
91,"2025-09-15 09:52:19.525142+00","13.41"
93,"2025-09-15 09:52:20.527029+00","13.41"
95,"2025-09-15 09:52:22.261117+00","13.42"
97,"2025-09-15 09:52:23.283734+00","15.13"
99,"2025-09-15 09:52:24.552909+00","21.65"
101,"2025-09-15 09:52:25.706183+00","26.06"
103,"2025-09-15 09:52:26.709118+00","26.98"
105,"2025-09-15 09:52:27.702252+00","27.18"
107,"2025-09-15 09:52:28.710159+00","27.39"
109,"2025-09-15 09:52:29.721226+00","27.56"
111,"2025-09-15 09:52:30.710225+00","27.75"
113,"2025-09-15 09:52:31.716876+00","27.87"
115,"2025-09-15 09:52:32.735076+00","27.91"
117,"2025-09-15 09:52:34.55301+00","28.34"
119,"2025-09-15 09:52:35.42528+00","38.04"
121,"2025-09-15 09:52:35.860056+00","41.14"
123,"2025-09-15 09:52:36.548261+00","43.45"
125,"2025-09-15 09:52:37.269322+00","47.62"
127,"2025-09-15 09:52:38.282465+00","56.21"
129,"2025-09-15 09:52:39.816312+00","60.31"
131,"2025-09-15 09:52:45.453067+00","64.77"
133,"2025-09-15 09:52:54.43846+00","76.25"
135,"2025-09-15 09:52:59.903147+00","74.58"
137,"2025-09-15 09:53:10.417806+00","77.12"
139,"2025-09-15 09:53:24.713069+00","81.07"
141,"2025-09-15 09:53:35.682937+00","85.77"
143,"2025-09-15 09:53:43.904393+00","82.19"
145,"2025-09-15 09:53:51.274603+00","73.82"
147,"2025-09-15 09:53:58.121938+00","64.96"
149,"2025-09-15 09:54:00.610901+00","38.33"
151,"2025-09-15 09:54:01.270723+00","34.07"
153,"2025-09-15 09:54:01.298518+00","28.93"
155,"2025-09-15 09:54:01.307351+00","28.83"
157,"2025-09-15 09:54:01.317768+00","28.83"
159,"2025-09-15 09:54:01.324825+00","28.82"
161,"2025-09-15 09:54:01.331163+00","28.82"
163,"2025-09-15 09:54:01.337509+00","28.82"
165,"2025-09-15 09:54:01.344213+00","28.81"
167,"2025-09-15 09:54:01.350508+00","28.81"
169,"2025-09-15 09:54:01.356014+00","28.81"
171,"2025-09-15 09:54:01.362725+00","28.81"
173,"2025-09-15 09:54:01.368498+00","28.81"
175,"2025-09-15 09:54:01.37631+00","28.81"
177,"2025-09-15 09:54:01.385937+00","28.81"
179,"2025-09-15 09:54:01.391885+00","28.81"
181,"2025-09-15 09:54:01.397575+00","28.81"
183,"2025-09-15 09:54:01.404307+00","28.81"
185,"2025-09-15 09:54:01.41155+00","28.81"
187,"2025-09-15 09:54:01.419281+00","28.80"
189,"2025-09-15 09:54:01.428802+00","28.80"
191,"2025-09-15 09:54:01.43709+00","28.80"
193,"2025-09-15 09:54:01.443097+00","28.80"
195,"2025-09-15 09:54:01.451117+00","28.80"
197,"2025-09-15 09:54:01.456563+00","28.80"
199,"2025-09-15 09:54:01.461949+00","28.80"
201,"2025-09-15 09:54:01.467127+00","28.80"
203,"2025-09-15 09:54:01.47225+00","28.80"
205,"2025-09-15 09:54:01.477143+00","28.80"
207,"2025-09-15 09:54:01.482173+00","28.80"
209,"2025-09-15 09:54:01.487913+00","28.80"
211,"2025-09-15 09:54:01.49309+00","28.80"
213,"2025-09-15 09:54:01.500036+00","28.80"
215,"2025-09-15 09:54:01.505951+00","28.80"
217,"2025-09-15 09:54:01.511975+00","28.80"
219,"2025-09-15 09:54:01.518077+00","28.80"
221,"2025-09-15 09:54:01.524433+00","28.80"
223,"2025-09-15 09:54:01.530322+00","28.80"
225,"2025-09-15 09:54:01.535766+00","28.80"
227,"2025-09-15 09:54:01.541101+00","28.80"
229,"2025-09-15 09:54:01.546882+00","28.80"
231,"2025-09-15 09:54:01.556109+00","28.80"
233,"2025-09-15 09:54:01.562038+00","28.80"
235,"2025-09-15 09:54:01.567285+00","28.80"
237,"2025-09-15 09:54:01.573171+00","28.80"
239,"2025-09-15 09:54:01.578976+00","28.80"
241,"2025-09-15 09:54:01.585848+00","28.80"
243,"2025-09-15 09:54:01.591331+00","28.80"
245,"2025-09-15 09:54:01.596434+00","28.80"
247,"2025-09-15 09:54:01.603223+00","28.80"
249,"2025-09-15 09:54:01.610041+00","28.80"
251,"2025-09-15 09:54:01.617238+00","28.80"
253,"2025-09-15 09:54:01.624653+00","28.80"
255,"2025-09-15 09:54:01.630819+00","28.80"
257,"2025-09-15 09:54:01.637551+00","28.80"
259,"2025-09-15 09:54:01.645815+00","28.80"
261,"2025-09-15 09:54:01.653043+00","28.80"
263,"2025-09-15 09:54:01.65838+00","28.79"
265,"2025-09-15 09:54:01.665898+00","28.79"
267,"2025-09-15 09:54:01.671242+00","28.80"
269,"2025-09-15 09:54:01.676577+00","28.80"
271,"2025-09-15 09:54:01.682708+00","28.80"
273,"2025-09-15 09:54:01.691583+00","28.80"
275,"2025-09-15 09:54:01.699331+00","28.80"
277,"2025-09-15 09:54:01.705522+00","28.80"
279,"2025-09-15 09:54:01.71264+00","28.80"
281,"2025-09-15 09:54:01.718376+00","28.80"
283,"2025-09-15 09:54:01.726272+00","28.79"
285,"2025-09-15 09:54:01.736404+00","28.79"
287,"2025-09-15 09:54:02.450435+00","28.79"
289,"2025-09-15 09:54:03.450561+00","28.79"
291,"2025-09-15 09:54:04.450098+00","28.81"
293,"2025-09-15 09:54:05.450068+00","28.83"
295,"2025-09-15 09:54:06.452318+00","28.84"
297,"2025-09-15 09:54:07.450863+00","28.86"
299,"2025-09-15 09:54:08.449808+00","28.87"
301,"2025-09-15 09:54:09.453005+00","28.89"
303,"2025-09-15 09:54:10.450424+00","28.99"
305,"2025-09-15 09:54:11.453653+00","29.10"
307,"2025-09-15 09:54:12.451815+00","29.20"
309,"2025-09-15 09:54:13.464601+00","29.27"
311,"2025-09-15 09:54:14.451414+00","29.34"
313,"2025-09-15 09:54:15.460119+00","29.38"
315,"2025-09-15 09:54:16.456338+00","29.42"
317,"2025-09-15 09:54:17.458646+00","29.49"
319,"2025-09-15 09:54:18.459795+00","29.55"
321,"2025-09-15 09:54:19.449921+00","29.58"
323,"2025-09-15 09:54:20.451413+00","29.65"
325,"2025-09-15 09:54:21.45526+00","29.77"
327,"2025-09-15 09:54:22.45495+00","29.85"
329,"2025-09-15 09:54:23.482886+00","30.00"
331,"2025-09-15 09:54:24.453912+00","30.15"
333,"2025-09-15 09:54:25.45135+00","30.25"
335,"2025-09-15 09:54:27.589581+00","30.39"
337,"2025-09-15 09:54:28.590492+00","30.51"
339,"2025-09-15 09:54:29.604694+00","30.64"
341,"2025-09-15 09:54:30.601636+00","30.79"
343,"2025-09-15 09:54:31.591206+00","30.92"
345,"2025-09-15 09:54:32.593867+00","31.06"
347,"2025-09-15 09:54:33.58901+00","31.17"
349,"2025-09-15 09:54:34.595006+00","31.27"
351,"2025-09-15 09:54:35.588495+00","31.31"
353,"2025-09-15 09:54:36.588484+00","31.36"
355,"2025-09-15 09:54:37.6111+00","31.42"
357,"2025-09-15 09:54:38.635715+00","31.46"
359,"2025-09-15 09:54:39.589246+00","31.53"
361,"2025-09-15 09:54:40.618294+00","31.59"
363,"2025-09-15 09:54:41.589974+00","31.60"
365,"2025-09-15 09:54:42.605202+00","31.63"
367,"2025-09-15 09:54:43.591722+00","31.65"
369,"2025-09-15 09:54:44.594965+00","31.68"
371,"2025-09-15 09:54:45.590234+00","31.70"
373,"2025-09-15 09:54:46.661186+00","31.73"
375,"2025-09-15 09:54:47.592216+00","31.77"
