"sent_at_second","message_count"
"2025-09-02 22:36:13+02","2"
"2025-09-02 22:37:55+02","153"
"2025-09-02 22:37:56+02","373"
"2025-09-02 22:37:57+02","374"
"2025-09-02 22:38:29+02","22"
"2025-09-02 22:38:30+02","43"
"2025-09-02 22:38:31+02","135"
"2025-09-02 22:38:32+02","184"
"2025-09-02 22:38:33+02","516"
"2025-09-02 22:38:55+02","28"
"2025-09-02 22:38:56+02","72"
"2025-09-02 22:38:57+02","100"
"2025-09-02 22:38:59+02","46"
"2025-09-02 22:39:00+02","74"
"2025-09-02 22:39:01+02","207"
"2025-09-02 22:39:02+02","373"
"2025-09-02 22:39:26+02","40"
"2025-09-02 22:39:27+02","91"
"2025-09-02 22:39:28+02","1"
"2025-09-02 22:39:32+02","1"
"2025-09-02 22:39:34+02","87"
"2025-09-02 22:39:35+02","39"
"2025-09-02 22:39:36+02","641"
"2025-09-02 22:39:59+02","101"
"2025-09-02 22:40:00+02","26"
